company;product;typename;inches;screenresolution;cpu_company;cpu_type;cpu_frequency_ghz;ram_gb;memory;gpu_company;gpu_type;opsys;weight_kg;price_euro
HP;Spectre x360;2 in 1 Convertible;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 8550U;18;160;1TB SSD;Intel;UHD Graphics 620;Windows 10;129;24490
Lenovo;ThinkPad 13;Notebook;133;1366x768;Intel;Celeron Dual Core 3855U;16;40;16GB Flash Storage;Intel;HD Graphics 510;Chrome OS;145;4599
HP;ProBook 640;Notebook;140;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;195;9800
Acer;TravelMate B;Notebook;116;1366x768;Intel;Pentium Quad Core N3710;16;40;128GB Flash Storage;Intel;HD Graphics 405;Windows 10;14;4850
HP;Elitebook 840;Notebook;140;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;148;12920
Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel;Core i5 7200U;25;40;1TB HDD;Nvidia;GeForce 920MX;Windows 10;279;5890
Asus;ZenBook UX410UA-GV183T;Notebook;140;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;20;10940
HP;ProBook 450;Notebook;156;IPS Panel Full HD 1366x768;Intel;Core i7 8550U;18;80;1TB HDD;Intel;UHD Graphics 620;Windows 10;21;9020
Acer;Aspire 5;Notebook;156;1366x768;AMD;A12-Series 9720P;27;80;256GB SSD;AMD;Radeon RX 540;Windows 10;22;6590
Lenovo;IdeaPad 120S-14IAP;Notebook;140;1366x768;Intel;Core i5 7200U;11;40;32GB Flash Storage;Intel;HD Graphics 500;Windows 10;144;2920
Acer;Aspire E5-575;Notebook;156;1366x768;Intel;Core i5 7200U;25;60;1TB HDD;Intel;HD Graphics 620;Windows 10;223;5490
Asus;VivoBook S15;Ultrabook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;17;10499
HP;Elitebook 820;Ultrabook;125;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;126;13350
Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 7700HQ;28;320;1TB SSD;Nvidia;GeForce GTX 1050;Windows 10;206;26390
MSI;GL72M 7REX;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;27;11990
Toshiba;Satellite Pro;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;20;9430
Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;Notebook;140;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD +  1TB HDD;Intel;HD Graphics 620;Windows 10;20;13340
Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;Intel;HD Graphics 520;Windows 10;185;4490
Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;GeForce GTX 1050;Windows 10;25;9990
HP;EliteBook 840;Notebook;140;Full HD 1920x1080;Intel;Core i5 7300U;26;80;256GB SSD;Intel;HD Graphics 620;Windows 10;148;12680
Dell;Inspiron 7570;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;128GB SSD +  1TB HDD;Nvidia;GeForce 940MX;Windows 10;19;10490
HP;Elitebook 850;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;184;11440
Asus;X541NA (N3350/4GB/1TB/Linux);Notebook;156;1366x768;Intel;Celeron Dual Core N3350;11;40;1TB HDD;Intel;HD Graphics 500;Linux;20;27499
Dell;Inspiron 7570;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;20;114275
Dell;Inspiron 3552;Notebook;156;1366x768;Intel;Celeron Dual Core N3060;16;40;500GB HDD;Intel;HD Graphics;Linux;22;2749
Lenovo;IdeaPad 320-15ABR;Notebook;156;Full HD 1920x1080;AMD;A12-Series 9720P;36;120;2TB HDD;AMD;Radeon 530;Windows 10;22;8990
HP;ProBook 450;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i3 7100U;24;80;1TB HDD;Nvidia;GeForce 930MX;Windows 10;21;7160
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;139;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 8550U;18;160;512GB SSD;Intel;UHD Graphics 620;Windows 10;14;20990
Dell;XPS 13;Ultrabook;133;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;1,2E+16;15790
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  2TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;24;11290
HP;Stream 14-AX001nv;Notebook;140;1366x768;Intel;Celeron Dual Core N3060;16;20;32GB Flash Storage;Intel;HD Graphics 620;Windows 10;144;2790
Dell;Latitude 5590;Ultrabook;156;Full HD 1920x1080;Intel;Core i7 8650U;19;160;512GB SSD +  256GB SSD;Intel;UHD Graphics 620;Windows 10;188;160796
Asus;VivoBook Flip;2 in 1 Convertible;116;Touchscreen 1366x768;Intel;Celeron Dual Core N3350;11;40;32GB Flash Storage;Intel;HD Graphics 500;Windows 10;15;3750
Dell;Inspiron 5570;Ultrabook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;1TB HDD;AMD;Radeon 530;Windows 10;19;6630
Dell;XPS 15;Notebook;156;4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 7700HQ;28;160;512GB SSD;Nvidia;GeForce GTX 1050;Windows 10;206;202742
HP;Elitebook 850;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;184;13040
MSI;GP72MVR 7RFX;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;27;14090
HP;Zbook 15;Workstation;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;Quadro M1200;Windows 10;26;173827
Toshiba;Tecra A50-C-21G;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 6500U;25;160;512GB SSD;Nvidia;GeForce 930M;Windows 10;24;14030
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  2TB HDD;AMD;Radeon 530;Windows 10;202;9709
Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel;Celeron Dual Core N3350;11;40;1TB HDD;Intel;HD Graphics 500;No OS;22;32199
Dell;Inspiron 7577;Gaming;156;Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;265;9990
Dell;Inspiron 3567;Notebook;156;Touchscreen 1366x768;Intel;Core i5 7200U;25;80;2TB HDD;Intel;HD Graphics 620;Windows 10;236;55737
Dell;Latitude 7480;Notebook;140;Full HD 1920x1080;Intel;Core i5 7300U;26;80;256GB SSD;Intel;HD Graphics 620;Windows 10;136;14270
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;500GB HDD;Intel;HD Graphics 520;Windows 10;186;4390
Asus;Zenbook UX410UA-GV027T;Notebook;140;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;20;9450
Lenovo;IdeaPad 320-17IKB;Notebook;173;1600x900;Intel;Core i5 7200U;25;60;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 940MX;Windows 10;28;7190
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;1TB HDD;Intel;HD Graphics 620;Windows 10;186;6390
Lenovo;IdeaPad 320-15ISK;Notebook;156;1366x768;Intel;Core i3 6006U;20;80;256GB SSD;Nvidia;GeForce 920MX;No OS;22;4,99E+16
HP;15-AY023na (N3710/8GB/2TB/W10);Notebook;156;1366x768;Intel;Pentium Quad Core N3710;16;80;2TB HDD;Intel;HD Graphics 405;Windows 10;204;3890
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel;Core i5 8250U;16;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Windows 10;28;10850
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;No OS;24;8090
Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;AMD;Radeon R7 M445;Windows 10;233;8990
HP;Elitebook 1040;Ultrabook;140;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;136;17500
Asus;ZenBook Flip;2 in 1 Convertible;156;Full HD / Touchscreen 1920x1080;Intel;Core i7 7500U;27;120;512GB SSD +  2TB HDD;Nvidia;GeForce GT 940MX;Windows 10;226;10990
Acer;Aspire 3;Notebook;156;1366x768;AMD;A9-Series 9420;30;40;128GB SSD;AMD;Radeon R5;Windows 10;21;4260
Asus;Rog Strix;Gaming;173;IPS Panel Full HD 1920x1080;AMD;Ryzen 1700;30;160;256GB SSD +  1TB HDD;AMD;Radeon RX 580;Windows 10;325;21990
Lenovo;IdeaPad 110-17ACL;Notebook;173;1600x900;AMD;A8-Series 7410;22;40;128GB SSD;AMD;Radeon R5;Windows 10;26;4,89E+16
Dell;Inspiron 5379;2 in 1 Convertible;133;Full HD / Touchscreen 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;162;86901
HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);Notebook;156;Full HD 1920x1080;AMD;A9-Series 9420;30;40;256GB SSD;AMD;Radeon R5;Windows 10;191;4,8899E+16
Lenovo;Yoga 11e;Netbook;116;IPS Panel 1366x768;Intel;Celeron Quad Core N3450;11;40;128GB SSD;Intel;HD Graphics 500;Windows 10;159;5530
Dell;Inspiron 3552;Notebook;156;1366x768;Intel;Celeron Dual Core N3060;16;40;500GB HDD;Intel;HD Graphics 400;Windows 10;18;3090
Asus;VivoBook E403NA;Notebook;140;1366x768;Intel;Celeron Dual Core N3350;11;40;32GB Flash Storage;Intel;HD Graphics 500;Windows 10;15;2860
Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1TB HDD;Nvidia;GeForce GTX 1050;Linux;24;8460
HP;Omen 17-w212nv;Gaming;173;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;335;11910
Lenovo;V310-15ISK (i3-6006U/4GB/128GB/FHD/No;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;128GB SSD;Intel;HD Graphics 520;No OS;185;4035
Asus;ROG Strix;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;23;16550
Lenovo;IdeaPad 720S-14IKB;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Nvidia;GeForce 940MX;Windows 10;15;10990
Asus;Zenbook Flip;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel;Core i7 7500U;27;160;512GB SSD;Intel;HD Graphics 620;Windows 10;11;17489
Lenovo;Thinkpad X1;Ultrabook;140;IPS Panel 2560x1440;Intel;Core i7 7500U;27;80;512GB SSD;Intel;HD Graphics 620;Windows 10;113;22820
Lenovo;Ideapad 510S-13IKB;Notebook;133;IPS Panel Full HD 1920x1080;Intel;Core i3 7100U;24;40;128GB SSD;Intel;HD Graphics 620;Windows 10;15;5490
Dell;Precision 3510;Workstation;156;Full HD 1920x1080;Intel;Core i5 6440HQ;26;80;500GB HDD;AMD;FirePro W5130M;Windows 10;223;13690
Dell;Precision 5520;Workstation;156;IPS Panel Full HD 1920x1080;Intel;Core i7 6820HQ;27;80;256GB SSD;Nvidia;Quadro M1200;Windows 10;20;21350
Lenovo;ThinkPad X1;2 in 1 Convertible;140;Touchscreen 2560x1440;Intel;Core i7 7500U;27;160;512GB SSD;Intel;HD Graphics 620;Windows 10;142;25090
Asus;Rog GL753VD-GC042T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;30;10390
Asus;Rog GL753VE-GC070T;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;30;15910
Acer;Aspire 5;Notebook;156;IPS Panel 1366x768;Intel;Core i5 8250U;16;120;1TB HDD;Nvidia;GeForce MX130;Windows 10;22;69399
MSI;Leopard GP72M;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;GeForce GTX 1050 Ti;Windows 10;27;13490
Dell;Inspiron 5567;Notebook;156;Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;AMD;Radeon R7 M445;Linux;233;77887
HP;15-BW004nv (A9-9420/4GB/256GB/Radeon;Ultrabook;156;Full HD 1920x1080;AMD;A9-Series 9420;30;40;256GB SSD;AMD;Radeon 520;Windows 10;191;4,99E+16
Lenovo;ThinkPad E580;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon RX 550;Windows 10;21;122956
Lenovo;ThinkPad L470;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;19;9380
Dell;Precision M5520;Workstation;156;4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;Quadro M1200;Windows 10;178;27120
Lenovo;Thinkpad X1;Ultrabook;140;IPS Panel 2560x1440;Intel;Core i7 7500U;27;160;1TB SSD;Intel;HD Graphics 620;Windows 10;113;26250
Lenovo;IdeaPad 320-15IAP;Notebook;156;1366x768;Intel;Celeron Dual Core N3350;11;40;1TB HDD;Intel;HD Graphics 500;Windows 10;22;3060
Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;29;15290
Lenovo;ThinkPad E580;Notebook;156;IPS Panel Full HD 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD +  1TB HDD;AMD;Radeon RX 550;Windows 10;21;11445
Acer;Aspire 7;Notebook;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;256GB SSD;Nvidia;GeForce GTX 1050;Linux;25;8790
MSI;GE73VR 7RF;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;28;22490
Asus;Zenbook 3;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 7500U;27;80;512GB SSD;Intel;HD Graphics 620;Windows 10;11;18730
Toshiba;Portege Z30-C-16P;Ultrabook;133;Full HD 1920x1080;Intel;Core i7 6500U;25;160;512GB SSD;Intel;HD Graphics 520;Windows 10;1,2E+16;17470
Dell;Latitude 7480;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 7600U;28;80;512GB SSD;Intel;HD Graphics;Windows 10;136;16800
Lenovo;IdeaPad 320-15ISK;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;500GB HDD;Intel;HD Graphics 520;Windows 10;22;4090
Lenovo;Lenovo IdeaPad;Notebook;116;1366x768;Intel;Celeron Dual Core N3350;11;20;32GB Flash Storage;Intel;HD Graphics 500;Windows 10;115;3,0445E+16
Lenovo;ThinkPad P51;Workstation;156;Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;512GB SSD;Nvidia;Quadro M1200;Windows 10;267;19250
Lenovo;Thinkpad T470p;Ultrabook;140;IPS Panel Full HD 2560x1440;Intel;Core i7 7700HQ;28;80;512GB SSD;Nvidia;GeForce GT 940MX;Windows 10;17;19430
HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;AMD;Radeon 520;Windows 10;21;4690
Acer;Aspire R7;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i7 6500U;25;80;256GB SSD;Intel;HD Graphics 520;Windows 10;16;78901
Asus;ZenBook Flip;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;127;9280
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;256GB SSD;AMD;Radeon R5 M430;Linux;23;5989
Dell;Latitude 3380;Notebook;133;1366x768;Intel;Core i3 6006U;20;40;128GB SSD;Intel;HD Graphics 520;Windows 10;165;6890
HP;EliteBook 1040;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 6500U;25;80;256GB SSD;Intel;HD Graphics 520;Windows 10;143;15000
Dell;Inspiron 3567;Notebook;156;1366x768;Intel;Core i5 7200U;25;80;1TB HDD;Intel;HD Graphics 620;Windows 10;214;53995
Lenovo;ThinkPad E480;Ultrabook;140;IPS Panel Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD;AMD;Radeon RX 550;Windows 10;175;121538
Lenovo;Yoga 720-15IKB;2 in 1 Convertible;156;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 7700HQ;28;160;512GB SSD;Nvidia;GeForce GTX 1050;Windows 10;20;18990
Chuwi;LapBook 12.3;Notebook;123;IPS Panel Retina Display 2736x1824;Intel;Celeron Quad Core N3450;11;60;64GB Flash Storage;Intel;HD Graphics 500;Windows 10;14;4490
HP;ProBook 650;Notebook;156;Full HD 1920x1080;Intel;Core i7 7820HQ;29;80;256GB SSD;Intel;HD Graphics 630;Windows 10;231;14270
Asus;X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce;Notebook;156;Full HD 1920x1080;Intel;Core i3 7100U;24;80;1TB HDD;Nvidia;GeForce 940MX;Linux;23;5970
Dell;Alienware 17;Gaming;173;IPS Panel 2560x1440;Intel;Core i7 7820HK;29;160;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;442;27990
Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050 Ti;Windows 10;262;11590
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;256GB SSD +  2TB HDD;AMD;Radeon 530;Windows 10;202;11424
Dell;Latitude 5480;Ultrabook;140;Full HD 1920x1080;Intel;Core i7 7600U;28;80;256GB SSD;Intel;HD Graphics 620;Linux;16;10990
HP;Omen 17-w207nv;Gaming;173;Full HD 1920x1080;Intel;Core i7 7700HQ;28;120;256GB SSD +  1TB HDD;Nvidia;GeForce GTX 1070;Windows 10;335;19990
Mediacom;FlexBook Edge;2 in 1 Convertible;116;IPS Panel Full HD / Touchscreen 1920x1080;Intel;Celeron Dual Core N3350;11;40;32GB SSD;Intel;HD Graphics 500;Windows 10;1,16E+16;2990
Samsung;Chromebook 3;Netbook;116;1366x768;Intel;Celeron Dual Core N3060;16;40;16GB Flash Storage;Intel;HD Graphics 400;Chrome OS;115;2690
Lenovo;Thinkpad 13;Notebook;133;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;256GB SSD;Intel;HD Graphics 620;Windows 10;14;10100
Lenovo;IdeaPad 320s-14IKB;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i3 7130U;27;40;128GB SSD;Intel;HD Graphics 620;Windows 10;17;5990
Lenovo;Thinkpad T570;Workstation;156;IPS Panel 4K Ultra HD 3840x2160;Intel;Core i7 7600U;28;160;512GB SSD;Nvidia;GeForce 940MX;Windows 10;23;24450
Lenovo;Thinkpad P51;Notebook;156;Full HD 1920x1080;Intel;Core i7 7820HQ;29;160;512GB SSD;Nvidia;Quadro M2200M;Windows 10;25;24490
Asus;Rog Strix;Gaming;173;Full HD 1920x1080;AMD;Ryzen 1600;32;80;256GB SSD +  1TB HDD;AMD;Radeon RX 580;Windows 10;32;16950
HP;15-ra044nv (N3060/4GB/500GB/W10);Notebook;156;1366x768;Intel;Celeron Dual Core N3060;16;40;500GB HDD;Intel;HD Graphics 400;Windows 10;21;3470
Google;Pixelbook (Core;Ultrabook;123;Touchscreen 2400x1600;Intel;Core i7 7Y75;13;160;512GB SSD;Intel;HD Graphics 615;Chrome OS;11;21990
Lenovo;ThinkPad T470s;Ultrabook;140;2560x1440;Intel;Core i7 7500U;27;240;512GB SSD;Intel;HD Graphics 620;Windows 10;132;23820
Asus;VivoBook Max;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;40;256GB SSD;Intel;HD Graphics 620;Linux;20;5590
Lenovo;IdeaPad 320-15AST;Notebook;173;1600x900;AMD;A6-Series 9220;25;80;1TB HDD;AMD;Radeon R4;Windows 10;28;5190
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;40;256GB SSD;AMD;HD Graphics 620;Windows 10;22;7490
Lenovo;ThinkPad X270;Ultrabook;125;IPS Panel Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;136;14290
Lenovo;IdeaPad 320-15IAP;Notebook;156;Full HD 1920x1080;Intel;Pentium Quad Core N4200;11;40;128GB SSD;Intel;HD Graphics 505;Windows 10;22;3490
HP;Omen 15-AX205na;Gaming;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;80;128GB SSD +  1TB HDD;Nvidia;GeForce GTX 1050;Windows 10;22;10990
Dell;Latitude 5480;Notebook;140;Full HD 1920x1080;Intel;Core i5 7440HQ;28;80;256GB SSD;Nvidia;GeForce 930MX;Windows 10;164;11790
Acer;Aspire ES1-572;Notebook;156;1366x768;Intel;Core i5 7200U;25;40;500GB HDD;Intel;HD Graphics 620;Linux;24;4,418E+16
Dell;Precision 3520;Workstation;156;Full HD 1920x1080;Intel;Xeon E3-1505M V6;30;80;64GB Flash Storage +  1TB HDD;Nvidia;Quadro M620;Windows 10;223;19930
MSI;GV62 7RD-1686NL;Gaming;156;Full HD 1920x1080;Intel;Core i5 7300HQ;25;80;256GB SSD;Nvidia;GeForce GTX 1050;Windows 10;22;102774
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel;Core i7 7660U;25;160;512GB SSD;Intel;Iris Plus Graphics 640;Windows 10 S;125;25890
HP;15-bs024nv (i5-7200U/8GB/128GB/W10);Notebook;156;1366x768;Intel;Core i5 7200U;25;80;128GB SSD;Intel;HD Graphics 620;Windows 10;191;5890
Dell;Precision 3520;Workstation;156;IPS Panel Full HD 1920x1080;Intel;Core i7 6820HQ;27;160;256GB SSD;Nvidia;Quadro M620;Windows 10;217;19750
HP;ProBook 650;Workstation;156;IPS Panel Full HD 1920x1080;Intel;Core i7 7820HQ;29;80;512GB SSD;Intel;HD Graphics 620;Windows 10;231;15340
Lenovo;ThinkPad T470;Notebook;140;Full HD 1920x1080;Intel;Core i5 7200U;25;80;256GB SSD;Intel;HD Graphics 620;Windows 10;165;13450
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i7 8550U;18;80;128GB SSD +  1TB HDD;AMD;Radeon 530;Windows 10;236;9790
Dell;Inspiron 3168;2 in 1 Convertible;116;Touchscreen 1366x768;Intel;Pentium Quad Core N3710;16;40;500GB HDD;Intel;HD Graphics 405;Windows 10;147;4790
Dell;Alienware 17;Notebook;173;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;27;80;1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;442;20460
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel;Core M m3-7Y30;22;40;128GB SSD;Intel;HD Graphics 615;Windows 10 S;1252;9890
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel;Core i7 7660U;25;80;256GB SSD;Intel;Iris Plus Graphics 640;Windows 10 S;125;17990
HP;17-BS092ND (i3-6006U/8GB/256GB/W10);Notebook;173;1600x900;Intel;Core i3 6006U;20;80;256GB SSD;Intel;HD Graphics 520;Windows 10;25;6399
Acer;Aspire E5-576G;Notebook;156;Full HD 1920x1080;Intel;Core i3 6006U;20;40;1TB HDD;Nvidia;GeForce 940MX;Windows 10;223;5440
Acer;TravelMate B;Netbook;116;1366x768;Intel;Celeron Dual Core N3060;16;40;128GB SSD;Intel;HD Graphics 400;Windows 10;14;4350
Asus;Pro P2540UA-AB51;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;1TB HDD;Intel;HD Graphics 620;Windows 10;237;7490
Lenovo;IdeaPad 510s-14IKB;Notebook;140;IPS Panel Full HD 1920x1080;Intel;Core i7 7500U;27;80;512GB SSD;AMD;Radeon R7 M460;No OS;15;7990
Lenovo;Thinkpad P51;Notebook;156;Full HD 1920x1080;Intel;Core i7 7820HQ;29;80;256GB SSD;Nvidia;Quadro M2200M;Windows 10;267;20900
Asus;X541NA-PD1003Y (N4200/4GB/500GB/W10);Notebook;156;1366x768;Intel;Pentium Quad Core N4200;11;40;500GB HDD;Intel;HD Graphics 500;Windows 10;20;3040
Acer;Aspire 5;Notebook;156;1366x768;Intel;Core i3 6006U;20;40;500GB HDD;Nvidia;GeForce GTX 940MX;Windows 10;22;4690
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel;Core i5 8250U;16;80;2TB HDD;AMD;Radeon 530;Windows 10;202;7590
HP;Omen 17-an006nv;Gaming;173;IPS Panel Full HD 1920x1080;Intel;Core i7 7700HQ;28;120;1TB HDD;Nvidia;GeForce GTX 1060;Windows 10;3,78E+16;16990
Lenovo;Thinkpad T460s;Ultrabook;140;IPS Panel Quad HD+ 2560x1440;Intel;Core i7 6600U;26;120;256GB SSD;Intel;HD Graphics 520;Windows 10;14;18580
HP;Spectre x360;2 in 1 Convertible;133;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel;Core i7 8550U;18;80;512GB SSD;Intel;UHD Graphics 620;Windows 10;129;19990
HP;ZBook 15u;Notebook;156;Full HD 1920x1080;Intel;Core i5 7200U;25;80;500GB HDD;AMD;FirePro W4190M;Windows 10;19;11540
Google;Pixelbook (Core;Ultrabook;123;Touchscreen 2400x1600;Intel;Core i5 7Y57;12;80;128GB SSD;Intel;HD Graphics 615;Chrome OS;11;12750
Dell;Latitude 7390;Ultrabook;133;Full HD / Touchscreen 1920x1080;Intel;Core i5 8250U;16;80;256GB SSD;Intel;UHD Graphics 620;Windows 10;142;184185
Asus;ZenBook Pro;Notebook;156;IPS Panel 4K Ultra HD 3840x2160;Intel;Core i7 6700HQ;26;120;128GB SSD +  1TB HDD;Intel;HD Graphics 530;Windows 10;206;12990
